岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
.NET软件开发工程师,5-10K,1-3年，大专,德阳·旌阳区·龙泉山南路,五险一金，补充医疗保险，带薪年假，项目奖金，交通补助，通讯补贴，餐补，积分奖励，生日礼物，节日福利，零食下午茶，员工旅游,大宇信息,计算机软件，不需要融资，20-99人,.NET，.NET开发经验
qt软件开发工程师,3-4K,经验不限，大专,深圳·龙华区·龙华,绩效奖金，五险一金,千层智能,计算机软件，0-20人,C++，Python，计算机相关专业，Qt项目开发经验
电子软件开发工程师,11-20K,3-5年，大专,广州·南沙区·榄核,生日福利，住房补贴，包吃，宿舍有空调，包住，节日福利，全勤奖，工龄奖，带薪年假，绩效奖金，五险一金,澳兰斯健康,家具/家电/家居，未融资，500-999人,电子相关专业，单片机设计经验
专网通信应用软件开发工程师,10-15K,1-3年，本科,深圳·罗湖区·莲塘,员工旅游，全勤奖，通讯补贴，五险一金，节日福利,中瑞科,通信/网络设备，未融资，100-499人,数据结构，网络协议，Socket技术，Linux，STL，Windows
QT/C++软件开发工程师,18-20K,1-3年，大专,南京·玄武区·徐庄软件园,全勤奖，节日福利，员工旅游，加班补助，年终奖,胜太电力,电力/热力/燃气/水利，20-99人,C++，Qt项目开发经验，QT，游戏引擎，多线程，STL，MFC
Android framework 软件开发工程师,15-28K·15薪,5-10年，本科,大连·甘井子区·高新园区,绩效奖金，七险一金，补充医疗保险，年终奖，定期体检，子女福利，通讯补贴，五险一金，餐补，带薪年假，节日福利,亿咖通科技ECARX,互联网，已上市，1000-9999人,Android开发经验，Java，C++，C，AndroidStudio
流媒体软件开发高级工程师,18-35K,3-5年，本科,上海·宝山区·高境,五险一金，年终奖，带薪年假，员工旅游,韬安,计算机软件，不需要融资，20-99人,C++，音视频编解码，流媒体技术，golang，微服务架构
.net开发软件工程师,8-12K,3-5年，本科,上海·奉贤区·南桥,节日福利，年终奖，餐补，五险一金，定期体检，员工旅游，股票期权，通讯补贴，带薪年假,斐酷PHICOOL,智能硬件，天使轮，20-99人,.NET，.NET Core，C#，.NET开发经验
电机控制器底层软件开发工程师,8-13K,1-3年，本科,北京·通州区·果园,通讯补贴，团建聚餐，节日福利，包吃包住，包吃，五险一金，股票期权，绩效奖金，餐补，生日福利，包住，带薪年假，宿舍有空调，年终奖,宏瑞汽车,汽车生产，A轮，500-999人,ARM开发，C语言，C++，汽车，单片机开发，底层驱动
中/高级嵌入式开发软件工程师,20-35K,3-5年，本科,北京·朝阳区·来广营,七险一金，补充医疗保险，零食下午茶，定期体检，加班补助，五险一金，员工旅游，带薪年假，节日福利,汉朔科技股份有限...,智能硬件，C轮，500-999人,C语言，嵌入式技术，Linux，FreeRTOS，单片机开发
软件开发,3-5K,1-3年，大专,邢台·信都区·育才路,,叶瑞,电子商务，20-99人,C/C++，数据采集
C#软件开发,10-15K,3-5年，大专,东莞,带薪年假，包吃，零食下午茶，员工旅游，年终奖，包住，全勤奖，节日福利,尚夏网络,计算机软件，不需要融资，20-99人,C#，SQL Server，C#开发经验，.NET开发经验，DEV控件
软件开发,5-10K,1-3年，本科,厦门·思明区·软件园,,光达信,电子/半导体/集成电路，0-20人,C，STM32开发，ARM开发，通信相关专业
软件开发程序员,3-8K,1-3年，大专,遵义·汇川区·上海路,加班补助，通讯补贴，五险一金，全勤奖，员工旅游，带薪年假，节日福利,永恒光,互联网，不需要融资，20-99人,PHP，Python，Java，计算机相关专业，PHP开发经验
软件开发经理,45-55K·14薪,5-10年，本科,上海·浦东新区·张江,,价值谷科技,电子/半导体/集成电路，0-20人,网络协议，STL，SVN
软件开发实习生,100-170元/天,5天/周，本科,宁波·海曙区·火车站,节日福利，餐补，员工旅游，交通补助，定期体检，带薪年假，年终奖，补充医疗保险，通讯补贴，包吃，住房补贴，五险一金，零食下午茶,中控微电子,电子/半导体/集成电路，未融资，20-99人,C++，Python，计算机相关专业，PyQt，wxPython，Qt
软件开发管培生,12-20K,在校/应届，本科,上海,节日福利，餐补，通讯补贴，定期体检，团建聚餐，股票期权，年终奖，生日福利，全勤奖，零食下午茶，带薪年假，五险一金,清鹤科技,互联网，已上市，100-499人,C语言，Java，Python，计算机相关专业，C语言开发经验
软件开发技术总监,15-20K,3-5年，本科,南宁·西乡塘区·高新区,定期体检，节日福利，五险一金，员工旅游，餐补,申能达,电子商务，未融资，100-499人,Java，HTML，CSS，微服务架构，Socket技术，数据结构
市场开拓专员-物联网、智慧建造、软件开发,6-10K·13薪,1-3年，大专,深圳·南山区·科技园,五险一金，定期体检，年终奖，带薪年假，员工旅游，节日福利，零食下午茶,联深科技发展有限公司,电子/半导体/集成电路，未融资，20-99人,销售岗，客户开发，商户合作，互联网/科技，其他
.net 软件工程师,11-12K,1-3年，大专,武汉·洪山区·黄家湖大学城,员工旅游，专项礼金，餐补，包吃，定期体检，节日福利，生日福利，股票期权，通讯补贴，五险一金，年终奖，带薪年假,利德测控,计算机软件，未融资，100-499人,.NET，C#，Vue/React/Angular，.NET开发经验
【外资】RoR 软件工程师,14-20K·13薪,1-3年，本科,上海·浦东新区·陆家嘴,,凯业必达,计算机软件，0-20人,ruby on rails，php，aws
软件工程师 汽车电子软件工程师,10-15K,3-5年，大专,中山·小榄镇·泰丰,五险一金，工龄奖，通讯补贴，年终奖，员工旅游，补充医疗保险，交通补助，全勤奖，节日福利，零食下午茶，底薪加提成，餐补，住房补贴,能通电子,贸易/进出口，未融资，100-499人,C++，Java，Python，计算机相关专业
软件工程师双休,15-20K,1-3年，大专,合肥·瑶海区·花冲公园,加班补助，定期体检，五险一金，员工旅游，节日福利，零食下午茶，带薪年假，全勤奖，年终奖，补充医疗保险,合肥吉锂能电子,计算机服务，20-99人,PCB设计，版图设计工程师，示波器，AD，软件工程师
软件工程师,15-30K,经验不限，本科,北京·海淀区·上地,五险一金，年终奖，通讯补贴，带薪年假，股票期权,聚创造,互联网金融，天使轮，0-20人,Android客户端产品研发，架构设计/优化，Java，Kotlin
软件工程师,12-20K·13薪,3-5年，本科,珠海·香洲区·唐家湾,五险一金，年终奖，带薪年假，节日福利，加班补助，交通补助，通讯补贴,西米科技,电子/半导体/集成电路，未融资，20-99人,C语言
软件工程师,10-15K,经验不限，本科,苏州·虎丘区·高新区,年终奖，节日福利，股票期权，带薪年假，员工旅游，餐补，补充医疗保险，通讯补贴，五险一金，定期体检,高视科技,计算机硬件，D轮及以上，100-499人,QT，OpenCV
软件工程师,8-10K,3-5年，本科,连云港,底薪加提成，节假日加班费，高温补贴，通讯补贴，生日福利，年终奖，全勤奖，有无线网，工龄奖，保底工资，绩效奖金，补充医疗保险，免费工装，意外险，员工旅游，节日福利，包吃,君昱合流体设备科技,石油/石化，0-20人,C#，SQL Server，C#开发经验
软件工程师,10-15K·13薪,3-5年，本科,合肥,节日福利，餐补，加班补助，股票期权，年终奖,瞭望科技,电子/半导体/集成电路，天使轮，20-99人,C++，Java，计算机相关专业
软件工程师,12-15K,1-3年，本科,深圳·宝安区·宝安中心区,五险一金，定期体检，全勤奖，股票期权，带薪年假，员工旅游，节日福利,五核合科技,电子/半导体/集成电路，不需要融资，0-20人,Python，Shell，嵌入式技术，网络协议，数据结构
软件工程师,15-30K,3-5年，硕士,嘉兴,节日福利，餐补，加班补助，五险一金，带薪年假,浙江辛帝亚,电子/半导体/集成电路，未融资，20-99人,C#
软件工程师,7-12K,1年以内，本科,广州·黄埔区·南岗,,大凌实业,电子/半导体/集成电路，已上市，100-499人,后端开发
应用软件工程师,13-26K,3-5年，本科,北京·大兴区·旧宫,带薪年假，餐补，加班补助，全勤奖，交通补助，住房补贴，免费工装，五险一金，绩效奖金，带薪病假,擎锋科技,智能硬件，未融资，20-99人,C++，Linux
C++软件工程师,10-15K,3-5年，大专,广州·增城区·荔联,五险一金，交通补助，零食下午茶，带薪年假，通讯补贴，加班补助，节日福利，年终奖,万物智联,计算机服务，未融资，20-99人,Linux，QT，嵌入式技术，网络协议，网络编程，软件工程师
.NET软件工程师,5-8K,1-3年，大专,长沙·岳麓区·麓谷,,巨龙网络,移动互联网，未融资，0-20人,ASP，.NET，HTML5
C#软件工程师,6-11K·13薪,1-3年，大专,青岛·城阳区·流亭,团建聚餐，节日福利，年终奖，零食下午茶，五险,美谷弥佳,互联网，天使轮，0-20人,C#，SQL Server，ASP.NET，C#开发经验，计算机相关专业
c++软件工程师,15-30K·13薪,3-5年，本科,武汉·洪山区·街道口,五险一金，年终奖，加班补助，住房补贴，带薪年假，零食下午茶,拾光熵简,计算机软件，未融资，20-99人,C++，C语言，计算机相关专业，C++服务端开发经验
.NET软件工程师,4-8K,1年以内，本科,石家庄·桥西区·红旗,全勤奖，节日福利，五险一金，加班补助,网新科技集团,互联网，不需要融资，20-99人,Javascript，.NET，C#
labview软件工程师,5-10K·13薪,1-3年，本科,东营·东营区·西城,高温补贴，年终奖，加班补助，节假日加班费，五险一金，法定节假日三薪，交通补助，通讯补贴，免费工装，有无线网,双益电气,仪器仪表/工业自动化，不需要融资，20-99人,labview，测试开发
软件工程师,8-13K,1-3年，本科,成都·武侯区·紫荆,节日福利，五险一金，加班补助，零食下午茶,奇芯微电子,电子/半导体/集成电路，20-99人,QT，MFC
软件工程师,3-5K,1年以内，大专,南京·雨花台区·小行,餐补，带薪年假，零食下午茶，加班补助，股票期权，包吃，交通补助，住房补贴，节日福利，补充医疗保险，定期体检，员工旅游，五险一金，年终奖,勤泽文化,智能硬件，未融资，20-99人,Unity3D，计算机/软件工程相关专业，软件开发经验
软件工程师,20-40K,3-5年，本科,北京·海淀区·安宁庄,节日福利，补充医疗保险，定期体检，股票期权，12%公积金，带薪年假，五险一金，餐补，年终奖,小米,互联网，已上市，10000人以上,架构设计/优化，研发流程优化，Java，C，C++
软件工程师,6-10K,1-3年，大专,宁德·福安市·秦溪洋,,岭阳电子,电子/半导体/集成电路，20-99人,C，ARM开发，计算机相关专业，嵌入式/单片机开发经验
软件工程师,5-10K,1-3年，本科,长沙·长沙县·榔梨镇,节日福利，年终奖，带薪年假，零食下午茶，五险一金,湖南军威,计算机软件，未融资，20-99人,嵌入式技术
软件工程师,10-15K,5-10年，本科,肇庆,餐补，年终奖，定期体检，带薪年假，股票期权，包吃，五险一金，通讯补贴，员工旅游，节日福利,合普动力,汽车零部件，未融资，500-999人,matlab，simulink
软件工程师助理,4-7K,经验不限，大专,常州·新北区·三井,周年纪念奖励，团建聚餐，年终奖，员工旅游，零食下午茶，定期体检，五险一金，节日福利，带薪年假，通讯补贴，餐补，交通补助，有无线网,磐石电气,智能硬件，不需要融资，20-99人,C++，C#，Java，C语言
控制软件工程师,20-35K,5-10年，本科,杭州·余杭区·老余杭,五险一金，节日福利，带薪年假，年终奖,径卫视觉,智能硬件，B轮，100-499人,DSP开发经验
Linux软件工程师,18-35K,经验不限，本科,青岛·崂山区·崂山风景区,定期体检，节日福利，五险一金，免费班车，年终奖，员工旅游，带薪年假,伟达智慧科技,互联网，天使轮，100-499人,C++，Linux，软件工程师，网络协议，多线程
框架软件工程师,15-25K·14薪,3-5年，本科,苏州·昆山市·世茂,八险一金，年终奖，意外险，团建聚餐，定期体检，补充医疗保险，餐补，领导nice，零食下午茶，带薪年假，节日福利，员工旅游，五险一金,阿丘科技,企业服务，C轮，500-999人,C++，Winform，WPF，架构师，人工智能
软件工程师要求,8-13K,经验不限，本科,武汉·江夏区·光谷,住房补贴，员工旅游，团建聚餐，包住，节日福利，交通补助，五险一金，年终奖，有无线网，宿舍有空调，法定节假日三薪,匾福光电,通信/网络设备，未融资，20-99人,C++
