,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score,Cluster,X,Y
10,软件开发工程师,15-30K·14薪,经验不限，本科,84,补充医疗保险，节日福利，年终奖，五险一金，餐补，定期体检，加班补助，员工旅游，股票期权，零食下午茶,华为,Java，C/C++，Python,14,22.5,6,10,10,3,计算机软件,4,10,0.36292591434823385,4,0.045046408,-1.1519725
11,高级软件开发工程师,8-13K,1-3年，本科,10,包吃，节日福利，免费工装，意外险，免费停车，包住，绩效奖金，工龄津贴，带薪年假，餐补，工龄奖，五险一金,常州德龙,不限，Java，计算机/软件工程相关经验，Java开发经验,12,10.5,6,7,12,4,机械设备/机电/重工,4,7,0.1237886839637387,4,0.3856597,-0.7853568
12,高级软件开发工程师,8-12K·14薪,1-3年，本科,60,定期体检，员工旅游，带薪年假，法定节假日三薪，五险一金，团建聚餐，年终奖,知某数信息科技,Java，Spring，JavaScript，Java开发经验,14,10.0,6,7,7,4,计算机软件,4,6,0.19693654266958427,2,0.41598547,0.14071234
13,5G核心网软件开发工程师,30-60K,经验不限，本科,221,餐补，定期体检，节日福利，五险一金，补充医疗保险，零食下午茶，年终奖，股票期权，员工旅游，加班补助,华为,Python，架构师，PHP，后端开发，c/c++，Java，go,12,45.0,6,10,10,7,计算机软件,4,10,0.7808690215692405,4,-1.4851521,-0.6597457
14,软件开发(后端),6-11K,经验不限，大专,84,,郑州凯普,架构师，SSM，SSH,12,8.5,5,10,0,3,医疗/护理/卫生,4,9,0.21975617380431384,2,0.98960376,1.1897768
15,软件开发-JAVA开发,9-14K·13薪,3-5年，大专,12,,山东华清,Java，JavaScript，分布式技术，微服务架构,13,11.5,5,6,0,4,计算机服务,4,7,0.09065332916536416,2,0.6063231,0.23707975
16,Java高级应用软件开发,15-25K,3-5年，本科,111,高温补贴，股票期权，定期体检，年终奖，免费班车，团建聚餐，交通补助，五险一金，餐补，补充医疗保险，免息住房借款，通讯补贴，生日福利，带薪年假,海康威视,Java，中间件，系统架构,12,20.0,6,6,14,3,计算机软件,10,10,0.4176305095342295,1,-1.6756176,-4.635936
17,软件工程师,3-5K,在校/应届，大专,2,带薪年假，定期体检，补充医疗保险，员工旅游，年终奖，全勤奖，节日福利,湖北玖誉,Java，.NET，移动开发,12,4.0,5,9,7,3,地产经纪/中介,4,7,0.04657705532979054,2,1.3995616,-0.7153803
18,软件工程师,8-12K,1-3年，本科,8,五险一金，绩效奖金，带薪年假，补充医疗保险，年终奖，节日福利，包吃，定期体检,中铝智能铜创科技...,Java,12,10.0,6,7,8,1,计算机服务,4,6,0.08940293841825567,2,1.0150877,0.6272632
19,软件工程师,5-8K,3-5年，本科,4,带薪年假，工龄奖，交通补助，通讯补贴，年终奖，定期体检，意外险，五险一金,凯歌科技,Unix，Java，全栈工程师，全栈开发，服务器配置，架构师,12,6.5,6,6,8,6,计算机软件,4,6,0.06939668646452016,2,0.30446374,-0.13049397
20,软件工程师,8-10K,1-3年，本科,40,,泰嘉股份,HTML，PHP，CSS，MySQL，后端开发，WEB开发,12,9.0,6,7,0,6,机械设备/机电/重工,10,7,0.1566114410753361,1,-0.74279773,-2.69107
21,c#软件开发工程师/.net软件工程师,11-22K,经验不限，本科,199,五险一金，加班补助，带薪年假，节日福利，零食下午茶,华规软件软件开发,C#，ASP.NET，MySQL,12,16.5,6,10,5,3,计算机软件,4,6,0.4951547358549548,0,-0.15168992,2.5158114
22,Sr. Software Engineer Radar软件工程师,11-20K,3-5年，本科,60,,海拉南京研发中心,C语言,12,15.5,6,6,0,1,汽车零部件,4,8,0.20475148483901218,2,0.47761402,1.0975938
23,软件开发工程师|程序开发|前端|架构师,10-15K,3-5年，本科,2,底薪加提成，绩效奖金，年终奖，带薪年假，保底工资，团建聚餐,今捷众创,Vue,12,12.5,6,6,6,1,培训机构,4,6,0.08596436386370744,2,0.84469604,0.7127797
24,广告方向 - java资深开发工程师/架构师,40-50K·15薪,5-10年，本科,199,节日福利，定期体检，年终奖，零食下午茶，员工旅游，免费班车，带薪年假，餐补，五险一金,喜马拉雅,分布式技术，微服务架构，NoSQL，MongoDB，架构师,15,45.0,6,5,9,5,移动互联网,9,9,0.7392935292278837,1,-2.4620054,-2.2379498
25,软件开发工程师,15-30K,经验不限，本科,14,加班补助，补充医疗保险，节日福利，零食下午茶，五险一金，定期体检，股票期权，餐补，员工旅游，年终奖,华为,c，c++，软件工程师，初级软件工程师，中级软件工程师,12,22.5,6,10,10,5,计算机软件,4,10,0.23226008127539857,4,0.3502957,-1.4912288
26,app软件开发工程师,16-18K,1-3年，大专,221,,铭嘉科技,Android客户端产品研发，架构设计/优化，Java，Kotlin,12,17.0,5,7,0,4,其他专业服务,4,5,0.5104720225070334,0,-0.33019024,0.9960694
27,应用软件开发工程师,5-10K,5-10年，大专,3,,芯韵科技,后端开发，软件工程师，MFC，WPF，VC++，MySQL,12,7.5,5,5,0,6,电子/半导体/集成电路,4,5,0.03688652703969987,2,0.4671451,0.04395564
28,web/Java软件开发工程师,8-13K,1-3年，本科,221,生日福利，年终奖，五险一金，员工旅游，定期体检，带薪年假，节日福利,中科信利,前端开发,12,10.5,6,7,7,1,计算机软件,4,7,0.49390434510784625,0,-0.6715462,2.49562
29,软件开发工程师,12-19K·15薪,经验不限，本科,199,节日福利，五险一金，员工旅游，免费班车，年终奖，定期体检，带薪年假，股票期权，餐补，补充医疗保险，公租房,上海联影,Java，JavaScript，HTML，CSS，软件工程师,15,15.5,6,10,11,5,医疗设备/器械,7,9,0.5482963426070648,4,-0.91041344,-1.5215945
30,软件开发工程师,25-50K,经验不限，本科,221,员工旅游，节日福利，五险一金，补充医疗保险，加班补助，定期体检，餐补，股票期权，零食下午茶，年终奖,华为,C，Go，C++，Linux，软件工程师，计算机软件，后端开发,12,37.5,6,10,10,7,计算机软件,4,10,0.729290403251016,4,-1.1439146,-0.62807745
31,控制软件开发工程师,8-12K·13薪,3-5年，本科,162,加班补助，员工旅游，节日福利，定期体检，五险一金，年终奖，带薪年假，股票期权,富泰华工业,充电桩，KEIL，IAR,13,10.0,6,6,8,3,互联网,10,10,0.4263832447639888,1,-1.6470847,-4.6826944
32,DSP软件开发工程师,100-150元/天,4天/周，硕士,111,员工旅游，餐补，带薪年假，年终奖，五险一金，通讯补贴，定期体检，加班补助，节日福利，补充医疗保险，交通补助，零食下午茶,诺基亚浙江分公司,5G，C++,12,3.5,7,10,12,2,通信/网络设备,10,10,0.30697092841512974,1,-0.37456113,-5.8187037
33,软件开发工程师,18-35K·16薪,经验不限，本科,199,定期体检，五险一金，补充医疗保险，零食下午茶，加班补助，股票期权，餐补，年终奖，节日福利，员工旅游,华为,Java，C/C++，后端开发经验,16,26.5,6,10,10,3,计算机软件,4,10,0.6111284776492656,0,-1.0197755,0.10117008
34,软件开发工程师,5-10K,3-5年，本科,3,免费班车，餐补，员工旅游，五险一金，定期体检，带薪年假，节日福利，全勤奖,扬子空调,单片机开发，电路设计，ARM开发，驱动开发,12,7.5,6,6,8,4,家具/家电/家居,4,9,0.08377618005626758,4,0.224821,-0.6659967
35,软件开发工程师,10-15K,3-5年，大专,14,通讯补贴，带薪年假，员工旅游，股票期权，定期体检，五险一金，补充医疗保险，加班补助，餐补,恒河智谷,Python，Java，Oracle，数据结构，ThinkPHP，软件工程师,12,12.5,5,6,9,6,电力/热力/燃气/水利,4,6,0.1303532353860581,2,0.31189033,-0.1378036
36,软件开发工程师,10-15K,1-3年，大专,44,,苏州天脉,系统开发,12,12.5,5,7,0,1,仪器仪表/工业自动化,4,9,0.15911222256955299,2,0.8523519,1.052013
37,软件开发工程师,15-30K,经验不限，本科,60,定期体检，零食下午茶，餐补，补充医疗保险，加班补助，五险一金，股票期权，员工旅游，年终奖，节日福利,华为,数据开发，数据仓库，Java，Python,12,22.5,6,10,10,4,计算机软件,4,10,0.3157236636448891,4,0.19175293,-1.3307006
38,软件开发工程师,12-22K·13薪,1-3年，本科,10,五险一金，交通补助，团建聚餐，带薪年假，年终奖，餐补，通讯补贴,常州仁迈生物,C#，MySQL，C#开发经验，计算机相关专业，.NET开发经验,13,17.0,6,7,7,5,医疗设备/器械,4,5,0.14660831509846825,2,0.4375322,-0.116362095
39,软件开发工程师,13-20K·13薪,3-5年，本科,11,零食下午茶，带薪年假，五险一金，交通补助，餐补，节日福利，股票期权，定期体检,海信视像科技,Java，C++，Android，Framework，架构师,13,16.5,6,6,8,5,电子/半导体/集成电路,10,4,0.16348859018443265,4,-0.39565256,-1.8384306
40,高级软件开发测试工程师,16-22K·13薪,5-10年，本科,162,团建聚餐，定期体检，节日福利，意外险，免费班车，五险一金，年终奖，员工旅游，带薪年假，补充医疗保险，法定节假日三薪,奥兰若科技,C#，上位机，开发，测试，自动化,13,19.0,6,5,11,5,电子/半导体/集成电路,10,4,0.47170990934667073,4,-1.0396026,-1.6661767
41,C#软件开发工程师,7-10K·13薪,1-3年，本科,50,年终奖，五险一金，有无线网,北京华亿,C#，C#开发经验，.NET，Winform，Windows，WPF,13,8.5,6,7,3,6,计算机服务,4,6,0.15723663644889033,2,0.28192648,0.06922865
42,高级软件开发工程师,15-30K,1-3年，本科,199,定期体检，五险一金,上海可耐德智能科技,C++，计算机相关专业，Linux开发/部署经验,12,22.5,6,7,2,3,智能硬件,4,5,0.5135979993748047,0,-0.8970163,1.4196721
43,高级软件开发工程师,15-18K·15薪,1-3年，本科,111,交通补助，节日福利，零食下午茶，定期体检，年终奖，股票期权，五险一金，带薪年假，补充医疗保险，通讯补贴，员工旅游，餐补,海康威视,C++，C语言，计算机相关专业，嵌入式软件,15,16.5,6,7,12,4,智能硬件,10,10,0.39949984370115654,1,-1.3934005,-4.5119486
44,Android软件开发工程师,6-11K,经验不限，大专,199,年终奖，五险一金，包吃,凯士电子,Android客户端产品研发，研发流程优化，Java,12,8.5,5,10,3,3,仪器仪表/工业自动化,4,7,0.43576117536730236,0,0.08226937,2.5274243
45,Linux C 软件开发工程师,15-30K,1-3年，本科,221,生日福利，免费工装，员工旅游，团建聚餐，定期体检，五险一金，带薪年假，高温补贴，年终奖，有无线网，绩效奖金，股票期权,华来科技,Linux，ipc，系统集成技术，C语言，嵌入式软件开发,12,22.5,6,7,12,5,智能硬件,9,7,0.6236323851203502,4,-1.3867182,-2.1423533
46,ios软件开发工程师,15-22K,5-10年，本科,60,股票期权，通讯补贴，零食下午茶，补充医疗保险，定期体检，交通补助，年终奖，节日福利，带薪年假，免费班车，五险一金，餐补,苏宁IT,IOS，移动端,12,18.5,6,5,12,2,互联网,10,10,0.2994685839324789,1,-1.63668,-4.6974783
47,高级软件开发工程师（后端）,20-21K,10年以上，学历不限,8,五险一金,空间云,Python，SQL，微服务架构，网络编程，数据结构，NoSQL,12,20.5,1,4,1,6,计算机软件,4,6,0.13160362613316665,3,3.7905352,-0.770279
48,C#软件开发工程师,8-13K,1-3年，大专,162,全勤奖，员工旅游，节日福利，五险一金，加班补助,SFM,JavaScript，.NET，多线程，MVC开发，网络编程，Winform,12,10.5,5,7,5,6,电子/半导体/集成电路,4,7,0.38793372929040326,0,-0.4383268,0.49491638
49,软件开发工程师,15-20K,1-3年，大专,162,年终奖，住房补贴，包吃，带薪年假，五险一金，交通补助,深圳精纬视,WPF，opencvshar，prism,12,17.5,5,7,6,3,仪器仪表/工业自动化,4,6,0.4260706470772116,0,-0.15482008,1.0260092
50,软件开发工程师,20-30K·13薪,5-10年，本科,162,股票期权，零食下午茶，五险一金，年终奖,深圳纳百信息技术,Linux，windows，GitHub开源项目，机器人联合控制,13,25.0,6,5,4,4,智能硬件,6,6,0.4810878399499843,0,-0.8789364,1.0298061
51,QT高级软件开发工程师,25-40K·13薪,3-5年，本科,17,节日福利，全勤奖，通讯补贴，员工旅游，补充医疗保险，带薪年假，加班补助，包吃，五险一金，年终奖,恩梯科技,QT,13,32.5,6,6,10,1,仪器仪表/工业自动化,4,7,0.2728977805564239,0,-0.5800408,0.19545372
52,软件开发工程师,10-15K,3-5年，本科,11,五险一金，补充医疗保险，交通补助，带薪年假，年终奖，加班补助，餐补，免费班车，定期体检，住房补贴，节日福利,海信网络科技,Web前端，.NET，C#,12,12.5,6,6,11,3,计算机软件,4,9,0.14066895904970303,4,0.18345362,-0.8831842
53,软件开发工程师,20-30K,5-10年，本科,199,,visteon,BSP开发，Android，C++，嵌入式技术，计算机软件，汽车,12,25.0,6,5,0,6,汽车零部件,4,7,0.5373554235698655,0,-0.72322136,0.38434917
54,C++软件开发工程师（QT）,20-40K,5-10年，本科,44,加班补助，补充医疗保险，带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，餐补，定期体检,珂晶达,C++，QT,12,30.0,6,5,10,2,电子/半导体/集成电路,6,7,0.3116598937167865,4,-0.97962415,-0.18013601
55,软件开发工程师,11-20K·16薪,3-5年，本科,40,年终奖，包吃，免费班车，股票期权，带薪年假，五险一金，定期体检，通讯补贴,中联重科,C++，C语言，计算机相关专业，C++服务端开发经验，PLC,16,15.5,6,6,8,5,机械设备/机电/重工,10,10,0.24851516098780868,1,-1.3074754,-4.008959
56,软件开发工程师,15-20K,1-3年，本科,199,股票期权，年终奖，定期体检，五险一金,春景科技,C/C++，Linux,12,17.5,6,7,4,2,计算机软件,4,5,0.48327602375742423,0,-0.7772816,1.7863125
57,PON 软件开发工程师,12-20K,1-3年，本科,162,,深圳市智路由科技,C语言，GPON，Linux开发，计算机专业,12,16.0,6,7,0,4,通信/网络设备,4,7,0.4054391997499218,0,-0.20829847,0.9663188
58,视频应用软件开发工程师,250-330元/天,4天/周，硕士,199,五险一金，餐补，包吃，年终奖，节日福利，股票期权，零食下午茶，补充医疗保险，带薪年假，定期体检，员工旅游,慧国(上海)软件...,.NET，多线程，Socket技术，数据结构，Winform，WPF,12,8.0,7,10,11,6,计算机软件,10,9,0.5057830572053768,1,-1.251783,-3.8167434
59,Qt应用软件开发工程师,10-15K,1-3年，本科,84,员工旅游，补充医疗保险，包吃，年终奖，免费班车，交通补助，通讯补贴，股票期权，餐补，五险一金，零食下午茶，定期体检，节日福利，住房补贴，带薪年假,广州视臻,C/C++，Qt,12,12.5,6,7,15,2,智能硬件,4,8,0.28602688340106286,4,0.23984961,-1.0500429
60,高级C++软件开发工程师,25-50K·15薪,3-5年，本科,162,海外工作，零食下午茶，年终奖，饭补，带薪年假，学习进修，股票期权，餐补，节日福利，健身房，定期体检，五险一金,海柔创新科技有限公司,数据结构，机器人，高级软件工程师，后端开发,15,37.5,6,6,12,4,计算机软件,9,9,0.628321350422007,1,-2.3723447,-2.6143942
61,C#软件开发工程师,10-11K,3-5年，本科,9,五险一金，年终奖，节日福利，环境很不错,财智信息科技,.NET，C/C++，Python,12,10.5,6,6,4,3,信息安全,4,5,0.07908721475461082,2,0.67765296,0.22082467
62,应用软件开发工程师,15-30K·15薪,5-10年，本科,84,五险一金，带薪年假，零食下午茶，年终奖，节日福利，幸福计划，餐补，员工旅游，定期体检，加班补助,碧桂园,C++，Linux，Android，视觉图像算法,15,22.5,6,5,10,4,房地产开发,4,7,0.34073147858705843,4,-0.28899935,-0.27068055
63,媒体软件开发专家/工程师,28-55K·13薪,5-10年，本科,199,节日福利，定期体检，股票期权，零食下午茶，年终奖，带薪年假，补充医疗保险，五险一金，通讯补贴,寒武纪行歌,嵌入式技术，Linux，ARM开发，音视频编解码，流媒体技术,13,41.5,6,5,9,5,电子/半导体/集成电路,6,7,0.6889653016567676,0,-1.8457704,0.39825398
64,高级软件开发工程师,15-20K,1-3年，大专,12,带薪年假，员工旅游，股票期权，节日福利，五险一金，全勤奖，包吃，年终奖,思泉新材料,泛微OA系统开发，ERP/MES/WMS系统，金蝶云星空二次开发,12,17.5,5,7,8,3,原材料及加工/模具,4,7,0.1566114410753361,4,0.70900977,-0.57864064
65,电子软件开发工程师,7-12K·13薪,3-5年，本科,5,年终奖，五险一金，带薪年假,蒙发利,单片机开发，物联网,13,9.5,6,6,3,2,仪器仪表/工业自动化,4,9,0.08096280087527347,2,0.5824029,0.21239658
66,ARM软件开发工程师,15-30K,经验不限，本科,199,零食下午茶，定期体检，带薪年假，五险一金，餐补，节日福利，员工旅游,柏飞电子,Linux,12,22.5,6,10,7,1,计算机软件,4,7,0.5426695842450767,0,-0.53032243,3.692728
67,C++软件开发工程师,7-12K,1-3年，本科,61,,地大坤迪,C++，计算机相关专业，C++服务端开发经验，地质及相关,12,9.5,6,7,0,4,计算机软件,4,7,0.17130353235386062,2,0.42497185,0.48303735
68,.NET软件开发工程师,5-10K,1-3年，大专,1,五险一金，补充医疗保险，带薪年假，项目奖金，交通补助，通讯补贴，餐补，积分奖励，生日礼物，节日福利，零食下午茶，员工旅游,大宇信息,.NET，.NET开发经验,12,7.5,5,7,12,2,计算机软件,4,6,0.07314785870584554,4,0.96083784,-0.8861545
69,qt软件开发工程师,3-4K,经验不限，大专,162,绩效奖金，五险一金,千层智能,C++，Python，计算机相关专业，Qt项目开发经验,12,3.5,5,10,2,4,计算机软件,4,5,0.3213504220068772,2,0.47702268,1.706267
70,电子软件开发工程师,11-20K,3-5年，大专,84,生日福利，住房补贴，包吃，宿舍有空调，包住，节日福利，全勤奖，工龄奖，带薪年假，绩效奖金，五险一金,澳兰斯健康,电子相关专业，单片机设计经验,12,15.5,5,6,11,2,家具/家电/家居,4,8,0.28790246952172555,4,0.10897203,-0.6692716
71,专网通信应用软件开发工程师,10-15K,1-3年，本科,162,员工旅游，全勤奖，通讯补贴，五险一金，节日福利,中瑞科,数据结构，网络协议，Socket技术，Linux，STL，Windows,12,12.5,6,7,5,6,通信/网络设备,4,7,0.4041888090028135,0,-0.43407962,0.4385662
72,QT/C++软件开发工程师,18-20K,1-3年，大专,60,全勤奖，节日福利，员工旅游，加班补助，年终奖,胜太电力,C++，Qt项目开发经验，QT，游戏引擎，多线程，STL，MFC,12,19.0,5,7,5,7,电力/热力/燃气/水利,4,6,0.2528915286026884,2,0.1964539,-0.06252612
73,Android framework 软件开发工程师,15-28K·15薪,5-10年，本科,14,绩效奖金，七险一金，补充医疗保险，年终奖，定期体检，子女福利，通讯补贴，五险一金，餐补，带薪年假，节日福利,亿咖通科技ECARX,Android开发经验，Java，C++，C，AndroidStudio,15,21.5,6,5,11,5,互联网,10,9,0.2413254141919349,1,-1.2920872,-3.3055453
74,流媒体软件开发高级工程师,18-35K,3-5年，本科,199,五险一金，年终奖，带薪年假，员工旅游,韬安,C++，音视频编解码，流媒体技术，golang，微服务架构,12,26.5,6,6,4,5,计算机软件,4,6,0.5561112847764927,0,-0.9389121,0.5770984
75,.net开发软件工程师,8-12K,3-5年，本科,199,节日福利，年终奖，餐补，五险一金，定期体检，员工旅游，股票期权，通讯补贴，带薪年假,斐酷PHICOOL,.NET，.NET Core，C#，.NET开发经验,12,10.0,6,6,9,4,智能硬件,5,6,0.46076899030947177,0,-0.44471562,0.8440655
76,电机控制器底层软件开发工程师,8-13K,1-3年，本科,221,通讯补贴，团建聚餐，节日福利，包吃包住，包吃，五险一金，股票期权，绩效奖金，餐补，生日福利，包住，带薪年假，宿舍有空调，年终奖,宏瑞汽车,ARM开发，C语言，C++，汽车，单片机开发，底层驱动,12,10.5,6,7,14,6,汽车生产,6,8,0.5445451703657392,4,-0.8362842,-0.11590259
77,中/高级嵌入式开发软件工程师,20-35K,3-5年，本科,221,七险一金，补充医疗保险，零食下午茶，定期体检，加班补助，五险一金，员工旅游，带薪年假，节日福利,汉朔科技股份有限...,C语言，嵌入式技术，Linux，FreeRTOS，单片机开发,12,27.5,6,6,9,5,智能硬件,8,8,0.6464520162550798,4,-1.41404,-1.4628464
78,软件开发,3-5K,1-3年，大专,3,,叶瑞,C/C++，数据采集,12,4.0,5,7,0,2,电子商务,4,6,0.011566114410753336,2,1.1283718,0.5079939
79,C#软件开发,10-15K,3-5年，大专,12,带薪年假，包吃，零食下午茶，员工旅游，年终奖，包住，全勤奖，节日福利,尚夏网络,C#，SQL Server，C#开发经验，.NET开发经验，DEV控件,12,12.5,5,6,8,5,计算机软件,4,6,0.12035010940919043,2,0.4006625,-0.14720383
80,软件开发,5-10K,1-3年，本科,30,,光达信,C，STM32开发，ARM开发，通信相关专业,12,7.5,6,7,0,4,电子/半导体/集成电路,4,5,0.08940293841825572,2,0.70735544,0.1049677
81,软件开发程序员,3-8K,1-3年，大专,1,加班补助，通讯补贴，五险一金，全勤奖，员工旅游，带薪年假，节日福利,永恒光,PHP，Python，Java，计算机相关专业，PHP开发经验,12,5.5,5,7,7,5,互联网,4,6,0.050640825257893096,2,0.7345921,-0.27111566
82,软件开发经理,45-55K·14薪,5-10年，本科,199,,价值谷科技,网络协议，STL，SVN,14,50.0,6,5,0,3,电子/半导体/集成电路,4,5,0.6958424507658643,0,-2.7772744,1.5523876
83,软件开发实习生,100-170元/天,5天/周，本科,22,节日福利，餐补，员工旅游，交通补助，定期体检，带薪年假，年终奖，补充医疗保险，通讯补贴，包吃，住房补贴，五险一金，零食下午茶,中控微电子,C++，Python，计算机相关专业，PyQt，wxPython，Qt,12,4.0,6,10,13,6,电子/半导体/集成电路,4,6,0.11316036261331662,4,0.9281945,-1.0820713
84,软件开发管培生,12-20K,在校/应届，本科,199,节日福利，餐补，通讯补贴，定期体检，团建聚餐，股票期权，年终奖，生日福利，全勤奖，零食下午茶，带薪年假，五险一金,清鹤科技,C语言，Java，Python，计算机相关专业，C语言开发经验,12,16.0,6,9,12,5,互联网,10,7,0.546420756486402,1,-1.1952286,-3.3282056
85,软件开发技术总监,15-20K,3-5年，本科,11,定期体检，节日福利，五险一金，员工旅游，餐补,申能达,Java，HTML，CSS，微服务架构，Socket技术，数据结构,12,17.5,6,6,5,6,电子商务,4,7,0.15286026883401066,2,0.15146784,-0.058515072
86,市场开拓专员-物联网、智慧建造、软件开发,6-10K·13薪,1-3年，大专,162,五险一金，定期体检，年终奖，带薪年假，员工旅游，节日福利，零食下午茶,联深科技发展有限公司,销售岗，客户开发，商户合作，互联网/科技，其他,13,8.0,5,7,7,5,电子/半导体/集成电路,4,6,0.3723038449515474,0,-0.23197147,0.63063055
87,.net 软件工程师,11-12K,1-3年，大专,61,员工旅游，专项礼金，餐补，包吃，定期体检，节日福利，生日福利，股票期权，通讯补贴，五险一金，年终奖，带薪年假,利德测控,.NET，C#，Vue/React/Angular，.NET开发经验,12,11.5,5,7,12,4,计算机软件,4,7,0.2238199437324164,4,0.28733203,-0.8290457
88,【外资】RoR 软件工程师,14-20K·13薪,1-3年，本科,199,,凯业必达,ruby on rails，php，aws,13,17.0,6,7,0,3,计算机软件,4,5,0.4713973116598937,0,-0.5620198,1.3859315
89,软件工程师 汽车电子软件工程师,10-15K,3-5年，大专,6,五险一金，工龄奖，通讯补贴，年终奖，员工旅游，补充医疗保险，交通补助，全勤奖，节日福利，零食下午茶，底薪加提成，餐补，住房补贴,能通电子,C++，Java，Python，计算机相关专业,12,12.5,5,6,13,4,贸易/进出口,4,7,0.12847764926539543,4,0.32171807,-0.7153877
90,软件工程师双休,15-20K,1-3年，大专,30,加班补助，定期体检，五险一金，员工旅游，节日福利，零食下午茶，带薪年假，全勤奖，年终奖，补充医疗保险,合肥吉锂能电子,PCB设计，版图设计工程师，示波器，AD，软件工程师,12,17.5,5,7,10,5,计算机服务,4,6,0.19787433572991556,4,0.41532925,-0.4508536
91,软件工程师,15-30K,经验不限，本科,221,五险一金，年终奖，通讯补贴，带薪年假，股票期权,聚创造,Android客户端产品研发，架构设计/优化，Java，Kotlin,12,22.5,6,10,5,4,互联网金融,5,5,0.5792435135979995,0,-0.3341423,2.0561085
92,软件工程师,12-20K·13薪,3-5年，本科,12,五险一金，年终奖，带薪年假，节日福利，加班补助，交通补助，通讯补贴,西米科技,C语言,13,16.0,6,6,7,1,电子/半导体/集成电路,4,6,0.13472960300093775,2,0.79212284,0.7602536
93,软件工程师,10-15K,经验不限，本科,44,年终奖，节日福利，股票期权，带薪年假，员工旅游，餐补，补充医疗保险，通讯补贴，五险一金，定期体检,高视科技,QT，OpenCV,12,12.5,6,10,10,2,计算机硬件,9,7,0.21506720850265706,1,0.43336907,-4.19983
94,软件工程师,8-10K,3-5年，本科,3,底薪加提成，节假日加班费，高温补贴，通讯补贴，生日福利，年终奖，全勤奖，有无线网，工龄奖，保底工资，绩效奖金，补充医疗保险，免费工装，意外险，员工旅游，节日福利，包吃,君昱合流体设备科技,C#，SQL Server，C#开发经验,12,9.0,6,6,17,3,石油/石化,4,5,0.10221944357611755,4,0.5076811,-0.8217526
