岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
软件开发工程师,16-30K·14薪,经验不限 本科,杭州·滨江区·长河,员工旅游，补充医疗保险，住房补贴，零食下午茶，免费班车，定期体检，节日福利，离职补偿，年终奖，全勤奖，餐补，通讯补贴，带薪年假，股票期权，五险一金，交通补助，加班补助,华为技术有限公司,计算机软件不需要融资10000人以上,['PythonLinuxc++cJAVAOS']
软件开发工程师,9-14K,经验不限 大专,上海·浦东新区·世博,,上海双璨科技,计算机软件0-20人,['C++Cmakec++LinuxGitHub服务器端开发']
分流器软件开发工程师,15-30K,3-5年 本科,武汉·洪山区·光谷,带薪年假，包吃，五险一金，免费班车，定期体检，员工旅游，年终奖，补充医疗保险,欣诺通信,通信/网络设备未融资500-999人,['C++Linux开发/部署经验']
C++应用软件开发工程师,20-40K·14薪,经验不限 本科,深圳·南山区·科技园,包吃，定期体检，年终奖，带薪年假，节日福利，五险一金,深圳元戎启行科技,智能硬件B轮100-499人,['C++QMLLinuxQTQT计算机软件智能驾驶']
软件开发工程师-C/C++方向,18-28K·14薪,在校/应届 本科,北京·海淀区·安宁庄,五险一金，餐补，补充医疗保险，带薪年假，股票期权，节日福利，定期体检，年终奖，12%公积金,小米,互联网已上市10000人以上,['C++C语言计算机相关专业C++服务端开发经验']
高级软件开发工程师,18-30K·16薪,5-10年 本科,长沙·开福区·湘雅路,员工旅游，五险一金，免费工装，带薪年假，年终奖，团建聚餐，节日福利，交通补助，餐补，生日福利，有无线网，绩效奖金，意外险，定期体检,飞腾公司,电子/半导体/集成电路不需要融资,['C++计算机相关专业ARM']
三维建模软件开发工程师,15-16K,10年以上 本科,深圳·龙岗区·坪地,五险一金，补充医疗保险，全勤奖，带薪年假，员工旅游，节日福利,普伦特科技,智能硬件未融资20-99人,['C++C语言计算机相关专业C++服务端开发经验']
c++/c#软件开发工程师,10-15K,1-3年 本科,上海·嘉定区·江桥,定期体检，生日会，加班补助，零食下午茶，带薪年假，股票期权，节日福利，员工旅游，全勤奖，交通补助，五险一金，年终奖,美城智能,计算机软件未融资20-99人,['网络协议WPFQTOpenCVCLRGitWinformC#']
PHP软件开发工程师（双休五险一金）,6-11K,1-3年 大专,青岛·李沧区·万年泉路,节日福利，团建聚餐，员工旅游，加班补助，全勤奖，年终奖，绩效奖金，带薪年假，五险一金，工龄奖,铭扬,电子商务未融资20-99人,['PHPJavaScript后端开发MySQLRedisMVC开发']
LinuxC/C++高级软件开发工程师,10-20K,1-3年 本科,杭州·余杭区·仓前,带薪年假，餐补，节日福利,迈可行,通信/网络设备未融资100-499人,['C/C++']
Java研发开发工程师,15-30K,3-5年 本科,上海·青浦区·赵巷,零食下午茶，定期体检，年终奖，免费班车，补充医疗保险，节日福利，员工旅游，五险一金，带薪年假,甄云科技,企业服务C轮500-999人,['JavaSQLSpringMySQLMybatis软件工程师']
多媒体互动类程序、软件开发工程师,5-10K,1-3年 本科,东莞·东城街道·主山,带薪年假，绩效奖金，五险一金，全勤奖，节日福利，工龄奖,华跃文化,文化/体育/娱乐未融资0-20人,['嵌入式技术']
系统软件开发工程师（C/C++）,15-30K,1-3年 本科,北京·海淀区·四季青,包吃，补充医疗保险，五险一金，加班补助，带薪年假，节日福利，免费班车，定期体检，年终奖,立得空间,互联网D轮及以上500-999人,['C++C语言自动驾驶软件系统']
安全产品软件开发/测试/分析工程师(实习),200-250元/天,5天/周 本科,杭州·滨江区·长河,股票期权，加班补助，定期体检，餐补，五险一金，年终奖，员工旅游，补充医疗保险，节日福利，零食下午茶,华为,计算机软件不需要融资10000人以上,['C++C语言JavaScriptJavaReactVue']
物联网软件后端开发工程师,11-12K,3-5年 本科,湖州·长兴县·人民南路,,斯博睿,互联网0-20人,['JavaSpringNetty分布式技术MVC开发MySQL']
软件开发,5-10K,1-3年 学历不限,扬州,年终奖，餐补，节日福利，五险,骏跃安防,工程施工20-99人,['前端开发JavaScriptHTML5CSS3ES6JQuery']
软件开发,15-30K,1-3年 本科,台州·临海市·江南大道,股票期权，餐补，五险一金，交通补助，定期体检，员工旅游，全勤奖，加班补助，通讯补贴，年终奖，带薪年假,拓卡奔马自动化,智能硬件未融资0-20人,['WindowsLinux后端开发QTOracleMySQL多线程']
软件开发,3-7K,经验不限 大专,湖州·德清县·武康镇,,德清微讯网络科技...,计算机软件0-20人,['.NET CoreC#MySQL/SQL Server/Oracle']
linux驱动软件开发工作师,30-50K·15薪,3-5年 本科,南京·江宁区·胜太路,零食下午茶，通讯补贴，带薪年假，补充医疗保险，生日福利，餐补，年终奖，股票期权，五险一金，免费工装，交通补助，定期体检，加班补助，节日福利，团建聚餐,深圳云天励飞,移动互联网已上市500-999人,['FPGA开发LinuxC++Shell嵌入式技术']
软件开发技术经理,30-35K·15薪,经验不限 硕士,深圳·龙岗区·龙岗宝荷,股票期权，节日福利，补充医疗保险，加班补助，带薪年假，免费班车，定期体检，餐补，员工旅游，五险一金，年终奖，部门团建,亚辉龙,医疗健康已上市1000-9999人,['软件软件专业']
安卓控制系统软件开发,12-20K,1-3年 大专,深圳·龙华区·观澜,,通晟电子,电子/半导体/集成电路不需要融资,['计算机软件手机群控安卓群控HTML']
C++存储高级应用软件开发,13-25K,3-5年 本科,武汉·洪山区·光谷,补充医疗保险，带薪年假，交通补助，定期体检，股票期权，节日福利，年终奖，通讯补贴，餐补，五险一金，零食下午茶,海康威视武汉研发中心,计算机软件已上市10000人以上,['Shell数据结构网络编程LinuxWindowsSTL']
CTO|首席技术官|软件开发总监,15-30K·13薪,10年以上 硕士,贵阳·观山湖区·长岭南路,通讯补贴，生日福利，节日福利，有无线网，节假日加班费，年终奖，法定节假日三薪，工龄奖，免费工装，员工旅游，定期体检，加班补助，零食下午茶，住房补贴，带薪年假，绩效奖金，五险一金，夜班补助，团建聚餐，股票期权,贵州广聚佳科技,互联网未融资100-499人,['Socket技术算法基础数据结构多进程MVC开发']
软件开发高级合伙人,20-21K,3-5年 本科,南京·雨花台区·西善桥,生日福利，企业年金，节日福利，免费工装，有无线网，保底工资，团建聚餐，年终奖，股票期权，底薪加提成，绩效奖金，员工旅游,南京一线牵婚恋,其他专业服务未融资100-499人,['JavaPHPPython后端开发前端开发Android开发']
视频监控应用软件开发,20-30K,经验不限 学历不限,苏州·相城区·渭塘,五险一金，餐补，年终奖，交通补助，通讯补贴，加班补助，节日福利，带薪年假,万域智慧城市,计算机软件未融资20-99人,['C++PHPPython']
软件开发（C#、C++、PHP、测试、运维）,6-10K·13薪,经验不限 本科,广州·番禺区·钟村,包吃，工龄奖，节日福利，股票期权，带薪年假，餐补，员工旅游，宿舍有空调，免费班车，团建聚餐，绩效奖金，年终奖，健身房，生日福利，五险一金,广东保伦电子,电子/半导体/集成电路未融资,['C#C++C#开发经验计算机相关专业']
Camera 软件工程师,30-50K·16薪,经验不限 硕士,上海·浦东新区·张江,带薪年假，员工旅游，五险一金，定期体检，补充医疗保险，年终奖，加班补助，股票期权，餐补，交通补助,Qualcomm,电子/半导体/集成电路已上市,['CC++计算机相关专业英语读写能力良好']
.net 软件工程师,9-14K·13薪,3-5年 本科,无锡·新吴区·鸿山,加班补助，节假日加班费，带薪年假，股票期权，定期体检，年终奖，绩效奖金，五险一金,微导纳米,机械设备/机电/重工已上市1000-9999人,['C#.NET开发经验']
c# 软件工程师,3-8K,经验不限 本科,广州·花都区·花山,,阿浦卡,计算机软件0-20人,['WPFc#']
软件工程师,4-8K,1年以内 本科,上海·浦东新区·康桥,五险一金，带薪年假，年终奖，住房补贴，节日福利，零食下午茶，加班补助，包吃,擎动,检测/认证未融资0-20人,['C++软件开发Labview']
软件工程师,8-12K·13薪,1-3年 本科,郑州·管城回族区·经开区,意外险，包吃，定期体检，补充医疗保险，团建聚餐，带薪年假，节日福利，免费工装，生日福利，年终奖，全勤奖，五险一金,中秀科技,医疗设备/器械不需要融资100-499人,['C#C#开发经验电脑客户端SocketTCP/IP协议']
软件工程师,5-10K,1-3年 本科,遂宁·船山区·物流港,,宏升,企业服务0-20人,['HTMLCSSC#MySQLSQL Server网络协议']
软件工程师,10-15K,经验不限 本科,苏州·太仓市·太仓,带薪年假，补充医疗保险，股票期权，节日福利，五险一金，年终奖，加班补助，餐补,HULKRobot,机械设备/机电/重工天使轮0-20人,['C/C++Python']
软件工程师,8-12K,1-3年 大专,惠州·博罗县·石湾,宿舍有空调，餐补，包吃，节假日加班费，包住,广东易库,智能硬件未融资20-99人,['.NETC#']
WEB软件工程师,9-13K,3-5年 本科,珠海·香洲区·南屏,年终奖，免费班车，带薪年假，双休，五险一金，员工旅游，节日福利,珠海东耀,通信/网络设备不需要融资0-20人,['SQL前端开发HTMLjavaweb']
高级软件工程师,20-30K,1-3年 硕士,北京·海淀区·五道口,五险一金，补充医疗保险，零食下午茶，年终奖，交通补助，带薪年假，定期体检，节日福利，通讯补贴,Veritas,企业服务不需要融资1000-9999人,['PythonShell软件工程师']
应用软件工程师,18-35K,经验不限 本科,深圳·福田区·车公庙,带薪年假，年终奖，零食下午茶，节日福利，定期体检，五险一金，补充医疗保险,致趣科技,智能硬件不需要融资20-99人,['C++PythonJava英语读写能力良好物联网']
C#软件工程师,4-8K,1-3年 学历不限,南昌·东湖区·叠山路,,南昌云科,计算机软件未融资20-99人,['C#SQL']
控制软件工程师,18-28K,5-10年 本科,深圳·福田区·车公庙,员工旅游，年终奖，全勤奖，定期体检，五险一金,深圳市艾而特工业...,仪器仪表/工业自动化未融资100-499人,['电子技术研发']
软件工程师,20-28K,3-5年 大专,东莞·塘厦镇·花园街,包吃，法定节假日三薪，带薪年假，五险一金，包住，高温补贴，生日福利,东莞优耐替新能源科技,新能源未融资20-99人,['C/C++自动化相关专业英语读写能力良好']
软件工程师,10-15K,5-10年 本科,无锡·新吴区·新安,,无锡清盛,新能源0-20人,['C/C++']
C++视频软件工程师,13-20K·13薪,在校/应届 硕士,广州·天河区·车陂,带薪年假，餐补，全勤奖，五险一金，住房补贴，年终奖，团建聚餐，带薪事假病假，节日福利，工龄奖，员工旅游,STONKAM,智能硬件不需要融资500-999人,['C++C++服务端开发经验Qt项目开发经验']
软件工程师,4-9K,经验不限 本科,深圳·龙华区·民治,全勤奖，年终奖，节日福利，带薪年假，定期体检，员工旅游，五险一金，零食下午茶,图扬,电子/半导体/集成电路未融资20-99人,['CC++计算机相关专业嵌入式/单片机开发经验']
软件工程师,10-15K,3-5年 大专,青岛·城阳区·城阳立交,五险一金，员工旅游，带薪年假，包吃，节日福利，通讯补贴，包住，交通补助,青岛朗兹,环保不需要融资100-499人,['单片机开发嵌入式技术软件工程师']
软件工程师,6-11K,1年以内 大专,厦门·翔安区·马巷,社保，带薪年假，法定节假日三薪，团建聚餐，加班补助，高温补贴，生日福利，节日福利，年终奖，意外险,奕聚智能,仪器仪表/工业自动化未融资20-99人,['企业内部技术项目管理软件研发经验ERP项目管理经验']
软件工程师,8-10K,1-3年 本科,成都·青羊区·黄田坝,五险一金，定期体检，年终奖，员工旅游，节日福利,鸿云智谷,通信/网络设备未融资20-99人,['Java计算机软件大数据IT服务']
软件工程师,5-7K,1-3年 大专,襄阳,,青燕祥云,医疗健康20-99人,['C#']
软件工程师,8-13K,1-3年 大专,佛山·禅城区·张槎,包吃，带薪年假，员工旅游，年终奖，全勤奖，餐补，交通补助，节日福利，通讯补贴，五险一金，股票期权，住房补贴,欣顿电源科技有限公司,企业服务不需要融资100-499人,['软件测试']
电子产品软件工程师,10-15K,1-3年 本科,嘉兴,补充医疗保险，年终奖，带薪年假，定期体检，包吃，节日福利，五险一金，意外险，团建聚餐，员工旅游，交通补助,浙江领航电子,电子/半导体/集成电路未融资100-499人,['硬件工程师']
（逆变器）软件工程师,20-30K·13薪,3-5年 本科,武汉·江夏区·金融港,生日福利，带薪年假，五险一金，员工旅游，餐补，加班补助，节日福利，全勤奖，零食下午茶，年终奖，定期体检，工龄补贴,永力技术,电子/半导体/集成电路不需要融资,['电气电气/自动化相关专业UPS电源AC-DC电源']
软件工程师,10-15K,3-5年 本科,深圳·南山区·西丽,员工旅游，五险一金，补充医疗保险，团建聚餐，节日福利，带薪年假，生日福利，有无线网，绩效奖金，底薪加提成，零食下午茶,卓煌,电子/半导体/集成电路不需要融资,['CC++计算机相关专业电子相关专业单片机设计经验']
软件工程师,6-8K,1-3年 大专,杭州·临安区·青山,五险一金，补充医疗保险，全勤奖，包吃，节日福利，带薪年假，定期体检,嘀视科技,其他行业不需要融资100-499人,['芯片设计']
软件工程师,6-10K,1-3年 大专,宁德·福安市·秦溪洋,,岭阳电子,电子/半导体/集成电路20-99人,['CARM开发计算机相关专业嵌入式/单片机开发经验']
软件工程师,3-5K,1年以内 大专,南京·雨花台区·小行,餐补，带薪年假，零食下午茶，加班补助，股票期权，包吃，交通补助，住房补贴，节日福利，补充医疗保险，定期体检，员工旅游，五险一金，年终奖,勤泽文化,智能硬件未融资20-99人,['Unity3D计算机/软件工程相关专业软件开发经验']
软件工程师,12-20K,3-5年 大专,佛山·顺德区·容桂,,佛山市酷帆机电科技,电子/半导体/集成电路0-20人,['CSTM32开发计算机相关专业电气电气/自动化相关专业']
高级软件工程师,18-35K,经验不限 本科,北京·海淀区·上地,餐补，定期体检，通讯补贴，带薪年假，补充医疗保险，年终奖，五险一金，意外险，节日福利，交通补助,启明星辰,信息安全已上市1000-9999人,['C语言Golang计算机相关专业C语言开发经验']
C#软件工程师,10-15K,1-3年 本科,深圳·南山区·西丽,定期体检，五险一金，股票期权，带薪年假，零食下午茶，年终奖，生日福利,正浩创新,电子/半导体/集成电路B轮1000-9999人,['.NETC#']
射频软件工程师,15-25K,3-5年 本科,南京·浦口区·高新区,补充医疗保险，住房补贴，零食下午茶，生育礼金，定期体检，部门聚餐，餐补，五险一金，结婚礼金，带薪年假，节日福利，员工旅游，股票期权，年终奖,大鱼半导体,通信/网络设备A轮100-499人,['射频驱动物理层软件']
软件工程师,7-13K,经验不限 本科,上海·浦东新区·外高桥,,久驻环保科技,生活服务天使轮0-20人,['JavaC#HTML5']
软件工程师,3-4K,经验不限 本科,松原·宁江区·松江大街,交通补助，底薪加提成，补充医疗保险，包吃，有无线网，意外险，年终奖，员工旅游，定期体检，节日福利，保底工资，工龄奖，绩效奖金，带薪年假，通讯补贴，五险一金,三马电子,计算机服务不需要融资20-99人,['计算机相关专业']
软件工程师,15-20K·15薪,3-5年 本科,上海,,贝洱海拉,汽车零部件100-499人,['嵌入式软件开发']
软件工程师,15-25K·13薪,1-3年 本科,江门·蓬江区·荷塘,节日福利，零食下午茶，五险一金，带薪年假，员工旅游，通讯补贴，年终奖，股票期权，优秀员工奖,网商时代,企业服务A轮20-99人,['PC机各种接口C、C++、C#等编程语言PC端的软件开发']
软件工程师,15-20K·13薪,1-3年 本科,深圳,法定节假日三薪，免费工装，团建聚餐，节假日加班费，节日福利，零食下午茶，五险一金，员工旅游，带薪年假，工龄奖，年终奖,深圳睿晟自动化,机械设备/机电/重工未融资20-99人,['QTVC++运动控制算法c++mfc']
软件工程师,15-20K,1-3年 大专,苏州·吴中区·越溪,全勤奖，带薪年假，节日福利，餐补，年终奖,欧伟力自动化,企业服务20-99人,['C#C++']
软件工程师,5-10K,1-3年 本科,江门·鹤山市·中心城区,员工旅游，意外险，定期体检，零食下午茶，社保,类恒星,通信/网络设备未融资20-99人,['单片机设计经验']
C#软件工程师,8-13K·13薪,1-3年 大专,上海·嘉定区·江桥,加班补助，年终奖，餐补，包吃，住房补贴,上海毅晨,仪器仪表/工业自动化未融资0-20人,['C#软件工程师WinformASP.NET']
传感器软件工程师,30-50K·13薪,5-10年 本科,深圳·福田区·梅林,餐补，员工旅游，通讯补贴，全勤奖，定期体检，带薪年假，免费班车，零食下午茶，提供住宿，餐补，五险一金，住房补贴，股票期权，交通补助，节日福利,vivo,移动互联网不需要融资10000人以上,['嵌入式技术C++Linux']
mcu软件工程师,18-35K·13薪,3-5年 本科,广州·黄埔区·东圃,餐补，补充医疗保险，五险一金，员工旅游，股票期权，定期体检，带薪年假，零食下午茶，住房补贴，通讯补贴，节日福利，包吃，年终奖，免费班车，交通补助,六环信息科技,汽车零部件未融资100-499人,['MCU']
高级软件工程师,20-35K,5-10年 大专,深圳·宝安区·固戍,员工旅游，通讯补贴，交通补助，零食下午茶，年终奖，节日福利，带薪年假，包吃,鑫凌波电子,电子/半导体/集成电路不需要融资,['单片机开发']
C++软件工程师,20-40K·14薪,经验不限 本科,北京·海淀区·上地,定期体检，员工旅游，交通补助，五险一金，餐补，年终奖，通讯补贴，带薪年假，节日福利，零食下午茶,梅卡曼德机器人,计算机软件C轮500-999人,['C++计算机相关专业']
C++软件工程师,8-13K,3-5年 本科,郑州·中原区·五龙口,节日福利，工龄奖，生日福利，餐补，绩效奖金，全勤奖，免费工装，员工旅游，定期体检，年终奖，团建聚餐,德朗智能科技,智能硬件未融资100-499人,['Linuxc++']
C++软件工程师,8-13K,1-3年 本科,武汉·江岸区·塔子湖,年终奖，补充医疗保险，五险一金，员工旅游，定期体检，带薪年假,北纬三十五度,计算机软件未融资20-99人,['C/C++']
电气软件工程师,15-20K,3-5年 本科,上海·闵行区·颛桥,定期体检，五险一金，员工旅游，零食下午茶，生日福利，法定节假日三薪，年终奖，餐补，带薪年假，团建聚餐，交通补助，补充医疗保险，全勤奖，通讯补贴，节假日加班费，工龄奖，免费班车，加班补助，节日福利，有无线网,普利森,机械设备/机电/重工未融资20-99人,['上位机PLC工程师ABControlLogix 5000罗克韦尔']
c++高级软件工程师,28-45K·13薪,5-10年 本科,北京·海淀区·西二旗,年终奖，定期体检，五险一金，加班补助，节日福利，带薪年假，餐补，交通补助，零食下午茶，股票期权,智芯仿真,电子/半导体/集成电路A轮20-99人,['C++服务端开发经验C++Qt项目开发经验QTMFC']
高级电源软件工程师,35-60K·13薪,5-10年 硕士,南京·建邺区·奥体,带薪年假，节日福利，通讯补贴，五险一金，定期体检，年终奖，包吃，免费班车，餐补，员工旅游,万帮数字能源,新能源A轮1000-9999人,['英语可用于工作电气/电力/电子专业']
ble软件工程师,20-30K·13薪,1-3年 大专,深圳·龙岗区·龙岗宝荷,,博奥时代,人力资源服务0-20人,['BLE蓝牙标准规范底层通信协议']
机器视觉软件工程师,8-13K·13薪,经验不限 本科,厦门·翔安区·马巷,定期体检，法定节假日三薪，包吃，带薪年假，全勤奖，年终奖，节假日加班费，餐补，五险一金，生日福利，节日福利，加班补助，团建聚餐,特盈自动化,仪器仪表/工业自动化未融资100-499人,['C++服务端开发经验C++C语言']
深度学习软件工程师,20-30K,1-3年 硕士,苏州·虎丘区·高新区,定期体检，五险一金，补充医疗保险，年终奖，股票期权，通讯补贴，餐补，员工旅游，带薪年假，节日福利,高视科技,计算机硬件D轮及以上100-499人,['英文读写能力良好VisionProcaffeHalcon深度学习算法']
高级存储软件工程师,30-60K·14薪,5-10年 本科,深圳·宝安区·西乡,零食下午茶，五险一金，加班补助，年终奖，餐补，住房补贴，股票期权，带薪年假，定期体检，节日福利，员工旅游,亿次网联,计算机硬件A轮20-99人,['Go分布式技术']
工控软件工程师,20-40K,3-5年 本科,上海·浦东新区·金桥,,端汇控制技术,电子/半导体/集成电路20-99人,['单片机开发DSP开发ARM开发C语言']
php软件工程师,7-10K,3-5年 学历不限,芜湖·弋江区·鲁港新镇,零食下午茶，聚餐，五险一金，员工旅游,安徽芜软,计算机软件未融资0-20人,['PHPLNMP/LAMPLaravel/Yii/ThinkPHP']
软件工程师（C++）,15-20K,1-3年 本科,苏州·苏州工业园区·左岸商业街,五险一金，零食下午茶，定期体检，员工旅游，加班补助，补充医疗保险，带薪年假，全勤奖，餐补，交通补助，节日福利，年终奖,Sengo,电子/半导体/集成电路B轮100-499人,['C++Windowsqt']
高级软件工程师,13-20K,3-5年 本科,成都·郫都区·郫县万达,包吃，补充医疗保险，带薪年假，定期体检，年终奖，加班补助，节日福利，五险一金，全勤奖，餐补,国润通,机械设备/机电/重工未融资20-99人,['C++服务端开发经验C++C语言']
qt软件工程师,10-15K,3-5年 本科,北京,五险一金，定期体检，节日福利，交通补助，通讯补贴，餐补,国健呈诺,医疗/护理/卫生A轮100-499人,['多线程网络协议图形图像处理LinuxQTMySQL']
